,Sl_no,body,category
19,20,Alert!You've spent Rs.272 On HDFC Bank CREDIT Card xx9186 at SWIGGYIN3549783 In: BANGALORE Date: 2023-04-19:07:33:25.Not you? Call 18002586161,Card_payment
20,21,"DEAR HDFCBANK CARDMEMBER, PAYMENT OF Rs. 40000.00 RECEIVED TOWARDS YOUR CREDIT CARD ENDING 9497 THROUGH IMPS ON 8-3-2023.YOUR AVAILABLE LIMIT IS RS. 929509.45",Card_payment
21,22,You've spent Rs.129 On HDFC Bank CREDIT Card xx9186 At GFM RETAIL PRIVATE LIM On 2023-03-21:08:31:01 Avl bal: Rs.30323 Curr O/s: Rs.44677 Not you?Call 18002586161,Card_payment
22,23,INR.500.00 withdrawn via card 6530 on 08/03/23 Avl Bal:INR 505.08 If not you SMS HOTLIST 6530 to 7065154444 For Non-DBS ATM usage fee go.dbs.com/ratesfees DBS BANK,ATM
23,24,You've spent Rs.274 On HDFC Bank CREDIT Card xx9186 At ZEPTO On 2023-03-31:06:55:22 Avl bal: Rs.20638 Curr O/s: Rs.54362 Not you?Call 18002586161,Card_payment
24,25,Refund of ₹186.47 for your Zomato order from French Loaf has been successfully processed and shall reflect in your account by now. To track your refund please click here: https://bnc.lt/WJml/k9gxoaEC4xb -ZOMATO,Ecommerce
25,26,Received! Your request for CashBack of Rs. 500.00 from the redemption of 3329 Reward Points on HDFC Bank Credit Card 9186. You'll receive it in 2 working days,Card_payment
26,27,"INR 364.00 spent on ICICI Bank Card XX1008 on 08-Apr-23 at Amazon.in - Gro. Avl Lmt: INR 3,06,210.60. To dispute,call 18002662/SMS BLOCK 1008 to 9215676766",Ecommerce
27,28,You've hand-picked groceries for Rs. 262.00 at Paytm_Bundltechnologie. Packing some fresh reward points along. Click: 1cardapp.page.link/rp,Ecommerce
28,29,You've spent Rs.295 On HDFC Bank CREDIT Card xx9186 At ..NATURALS_ On 2023-03-18:11:57:41 Avl bal: Rs.34953.05 Curr O/s: Rs.40046.95 Not you?Call 18002586161,Card_payment
